codigo,placa,linha,latitude,longitude,velocidade,sentido,trajeto,timestamp
903018,,42,-22.855328,-43.323808,0.0,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],2023-07-18 13:23:15
903019,,50,-22.876083,-43.329385,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-06-25 09:08:52
903020,,50,-22.971901,-43.400775,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 12:15:09
903023,,42,-22.856501,-43.328482,9.6,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:01
903024,,50,-23.00002,-43.362715,41.9,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],2023-07-18 13:23:02
903025,,50,-23.001622,-43.328476,15.3,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 13:23:06
903013,,42,-22.876967,-43.330371,0.0,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],2023-07-18 13:23:16
903014,,50,-22.87683,-43.330092,0.0,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],2023-07-18 13:23:03
902097,,35,-22.972406,-43.401673,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 12:31:55
901045,,22,-22.965045,-43.391337,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 12:02:30
901053,,35,-22.964753,-43.392158,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 12:34:24
901060,,51,-23.008517,-43.440298,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:26:43
903052,,17,-22.917975,-43.683873,0.0,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],2023-07-18 13:23:00
